"","Provider.ID","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score"
"102",21305,NA,NA,NA,NA,NA,NA,NA,NA
"103",21306,NA,NA,NA,NA,NA,NA,NA,NA
"104",21307,NA,NA,NA,NA,NA,NA,NA,NA
"105",21308,NA,NA,NA,NA,NA,NA,NA,NA
"106",21309,NA,NA,NA,NA,NA,NA,NA,NA
"107",21310,NA,NA,NA,NA,NA,NA,NA,NA
"108",21311,NA,NA,NA,NA,NA,"0","2.9",NA
"109",21312,NA,NA,NA,NA,NA,NA,NA,NA
"110",21313,NA,NA,NA,NA,NA,"0.522",NA,NA
"111",30001,"0.4","0.353",NA,NA,NA,"1.013",NA,"1.02"
"112",30002,"0.574","0.33","1.033","1.319","0.79","0.75","3.5","0.92"
"113",30006,"0.654","0.744","1.976","0.676","0.717","1.196","3.3","0.73"
"114",30007,"0.601","0.401","2.289",NA,NA,"1.009","2.5","0.86"
"115",30010,"0.702","1.269","1.548",NA,"2.279","1.434","3.4","0.77"
"116",30011,"0.087","0.511","0.945","0.43","0.777","1.126","2.5","0.82"
"117",30012,"0","0.155","0.873",NA,"2.489","1.54","2.6","1.11"
"118",30013,"0.292","0.433","0.465",NA,"1.611","0.815","3.1","0.72"
"119",30014,"1.82","1.314","1.681",NA,"1.4","1.474","3.5","0.82"
"120",30016,"0","0.32","0.99",NA,"0.783","0.482","3.2","1.01"
"121",30022,"0.741","0.882","0.705","0","1.632","0.683",NA,"1.37"
"122",30023,"0.406","1.13","1.656",NA,"0.727","1.114","2.4","1.02"
"123",30024,"0.605","0.754","1.758","1.088","0.801","0.952",NA,"1.11"
"124",30030,"0.502","0.657","1.038",NA,"1.391","0.932","2.7","0.76"
"125",30033,NA,"0",NA,NA,NA,"1.259","3.0","0.80"
"126",30036,"0.374","0.44","1.06","0.951","1.62","1.404","2.4","0.95"
"127",30037,"0.634","0.153","0",NA,"1.152","0.815","3.1","0.72"
"128",30038,"0.269","0.789","0.289",NA,"0.907","1.057","2.7","1.06"
"129",30043,"0","0.448","0.688",NA,"0","1.255","3.8","1.28"
"130",30055,"1.315","1.195","0.553",NA,"3.087","0.96","2.8","0.95"
"131",30061,"0.228","0.208","0.278",NA,"0.719","0.591","2.6","0.77"
"132",30062,"0","0.411","0",NA,NA,"0.278","3.1","1.05"
"133",30064,"0.928","0.824","2.801","1.496","0.996","1.6","2.3","1.47"
"134",30065,"0.682","0.442","1.357","1.179","0.206","0.624","2.7","0.70"
"135",30068,NA,NA,NA,NA,NA,"0.55","2.5","0.93"
"136",30069,"0","0.348","0",NA,"0.669","1.319","2.9","0.91"
"137",30071,NA,NA,NA,NA,NA,"0.632",NA,"0.86"
"138",30073,"0","0",NA,NA,NA,"0.507","3.7","0.83"
"139",30074,NA,NA,NA,NA,NA,NA,NA,"0.90"
"140",30077,NA,NA,NA,NA,NA,NA,NA,"0.90"
"141",30078,NA,NA,NA,NA,NA,"1.507",NA,"1.11"
"142",30083,"0.24","0.524","0",NA,NA,"1.473","2.8","0.83"
"143",30084,NA,"0.687",NA,NA,NA,"0.868",NA,"0.82"
"144",30085,"0.521","0.628","1.088","1.143","1.164","1.064","2.2","0.74"
"145",30087,"0.862","0.517","0.74","0.625","0.858","1.247","2.4","0.96"
"146",30088,"0.425","0.162","0.893","0.51","0.82","0.772","3.2","0.69"
"147",30089,"0.667","0.346","1.743","1.111","0.688","0.671","3.1","1.15"
"148",30092,"1.322","1.119","2.56","0.85","1.785","1.49","2.7","0.74"
"149",30093,"0.407","0.186","0.496","0","1.544","0.651","2.7","0.76"
"150",30094,"0.635","0.159","1.252","1.042","1.472","0.965","2.6","0.83"
"151",30101,"0","0.239","2.089",NA,NA,"0.589","3.0","0.72"
"152",30103,"0.536","0.547","1.268","0.778","1.432","0.802","2.7","0.71"
"153",30105,"0.212","0.529",NA,NA,NA,"0.518",NA,"0.76"
"154",30107,NA,NA,NA,NA,NA,NA,"3.3","0.82"
"155",30108,NA,NA,NA,NA,NA,NA,"3.2","0.80"
"156",30110,"0.199","0.077","0","0","0.524","1.29",NA,"1.14"
"157",30111,"0.143","0.281","3.731",NA,"1.008","0.651",NA,"1.07"
"158",30112,NA,NA,NA,NA,NA,NA,"3.6","0.97"
"159",30113,NA,NA,NA,NA,NA,"0",NA,"0.88"
"160",30114,"0","0.229","0.556",NA,NA,"1.124","2.7","1.18"
"161",30115,"0.675","0","1.034","0","0.328","0.37","2.6","0.90"
"162",30117,"0","0",NA,NA,NA,"0","3.4","0.85"
"163",30118,NA,NA,NA,NA,NA,"0.801","2.7","0.87"
"164",30119,"0.087","0.18","1.957","0.702","1.416","0.876","2.9","0.78"
"165",30120,NA,NA,NA,NA,NA,"0",NA,"0.94"
"166",30121,"0","0.182","1.911",NA,"0","1.006","2.9","1.43"
"167",30122,"0.211","0.843","1.193","0.274","2.437","1.297","4.0","0.91"
"168",30123,"0.345","0.467","2.174","0",NA,"0.875","2.3","0.89"
"169",30130,NA,NA,"1.932",NA,NA,"0.533","3.6","1.03"
"170",30131,NA,"0",NA,NA,NA,"0.515","3.0","0.71"
"171",30132,NA,NA,NA,NA,NA,NA,NA,"0.97"
"172",30134,NA,NA,NA,NA,NA,"0.439",NA,"1.02"
"173",30136,NA,NA,NA,NA,NA,NA,NA,NA
"174",30137,NA,NA,NA,NA,NA,NA,NA,NA
"175",31300,NA,NA,NA,NA,NA,NA,NA,NA
"176",31301,NA,NA,NA,NA,NA,NA,NA,NA
"177",31302,NA,NA,NA,NA,NA,NA,NA,NA
"178",31304,NA,NA,NA,NA,NA,NA,NA,NA
"179",31305,NA,NA,NA,NA,NA,NA,NA,NA
"180",31307,NA,NA,NA,NA,NA,NA,NA,NA
"181",31308,NA,NA,NA,NA,NA,NA,NA,NA
"182",31309,NA,NA,NA,NA,NA,NA,NA,NA
"183",31311,NA,NA,NA,NA,NA,NA,NA,NA
"184",31312,NA,NA,NA,NA,NA,NA,NA,NA
"185",31313,NA,NA,NA,NA,NA,NA,NA,NA
"186",31314,NA,NA,NA,NA,NA,NA,"3.0",NA
"187",31315,NA,NA,NA,NA,NA,NA,NA,NA
"188",31317,NA,NA,NA,NA,NA,NA,NA,NA
"189",33301,NA,NA,NA,NA,NA,NA,NA,NA
"190",33302,NA,NA,NA,NA,NA,NA,NA,NA
"191",33303,NA,NA,NA,NA,NA,NA,NA,NA
"192",40001,NA,NA,NA,NA,NA,"0",NA,"0.90"
"193",40002,NA,"0",NA,NA,NA,"0.694","3.7","0.78"
"194",40004,"1.179","0.779","0.452","0","1.556","0.511","1.9","0.75"
"195",40007,"1.359","0.81","0.958",NA,"1.291","0.419","2.7","0.94"
"196",40010,"0.512","0.533","0.743","0","0","0.791","3.4","0.75"
"197",40011,NA,"0",NA,NA,NA,"0",NA,"0.87"
"198",40014,"0.481","0","0","0","0.865","0.553","2.4","0.77"
"199",40015,NA,"0",NA,NA,NA,"0",NA,"0.82"
"200",40016,"0.314","0.681","0.577","0.24","0.614","1.057",NA,"1.15"
"201",40017,NA,NA,NA,NA,NA,"0.358","2.2","0.74"
"202",40018,NA,NA,NA,NA,NA,"1.573",NA,"0.94"
"203",40019,NA,"0",NA,"0",NA,"0",NA,"1.05"
"204",40020,"1.08","1.139","0.87",NA,"2.599","0.453","2.9","1.03"
"205",40022,"0.654","0.436","1.151","0.209","0","0.436","3.3","0.65"
"206",40026,"0.571","0.947","0.726",NA,"1.716","1.021","2.2","0.86"
"207",40027,"1.241","0.601","0.406",NA,"1.18","0.98","2.6","0.75"
"208",40029,"0.722","0.092","0","0","2.029","1.314","3.0","0.71"
"209",40036,"0.538","0.458","0.908",NA,"0.551","0.793","3.5","0.61"
"210",40039,NA,"0.315",NA,NA,"0.848","0.289","3.3","0.81"
"211",40041,"0.761","0.167","2.079",NA,"1.903","0.341","3.4","0.78"
"212",40047,NA,NA,NA,NA,NA,NA,NA,"0.89"
"213",40050,NA,"0",NA,NA,NA,"0.838","3.3","0.72"
"214",40051,NA,"0",NA,NA,NA,"0.663",NA,"0.84"
"215",40055,"0.998","0.28","0.678",NA,"2.582","0.482","3.7","0.98"
"216",40062,"0.077","0.321","0.898",NA,"0.314","0.776","2.5","0.67"
"217",40067,NA,"0",NA,NA,NA,"0.356",NA,"0.96"
"218",40069,NA,"0.723",NA,NA,NA,"1.576",NA,"0.90"
"219",40071,"0.404","0.331","0","0","0","0.755","3.3","0.65"
"220",40072,NA,NA,NA,NA,NA,"0",NA,"0.85"
"221",40074,NA,"0.383",NA,NA,NA,"0.955",NA,"0.95"
"222",40076,NA,"2.503",NA,NA,NA,"0",NA,"0.89"
"223",40078,"0.812","0.625","2.558",NA,"1.447","0.963","3.9","0.92"
"224",40080,NA,NA,NA,NA,NA,NA,NA,NA
"225",40084,"0","0.16",NA,NA,"0.928","0.475","2.1","0.54"
"226",40085,NA,"0",NA,NA,NA,"0",NA,"0.86"
"227",40088,"0","0.712","0",NA,"0","1.016","4.1","0.83"
"228",40114,"0.837","1.068","1.176","0.922","1.325","0.701","3.5","0.69"
"229",40118,"0.14","0.086","0.343",NA,"1.98","0.778","3.3","0.66"
"230",40119,"0.416","0.105","3.953",NA,"2.182","0.36","3.2","0.91"
"231",40132,NA,NA,NA,NA,NA,NA,NA,NA
"232",40134,"0.587","1.629",NA,NA,NA,"0.592",NA,"0.76"
"233",40137,NA,"0.569",NA,NA,NA,"0",NA,"0.96"
"234",40147,NA,"0",NA,NA,NA,"0","1.9","0.65"
"235",40152,NA,NA,NA,NA,NA,"0","3.2","0.96"
"236",40153,NA,"0",NA,NA,NA,"0.505",NA,"0.89"
"237",41300,NA,NA,NA,NA,NA,NA,NA,NA
"238",41302,NA,NA,NA,NA,NA,NA,NA,NA
"239",41303,NA,NA,NA,NA,NA,NA,NA,NA
"240",41304,NA,NA,NA,NA,NA,NA,NA,NA
"241",41305,NA,NA,NA,NA,NA,NA,NA,NA
"242",41306,NA,NA,NA,NA,NA,NA,NA,NA
"243",41307,NA,NA,NA,NA,NA,NA,NA,NA
"244",41308,NA,NA,NA,NA,NA,NA,NA,NA
"245",41309,NA,"0",NA,NA,NA,NA,NA,NA
"246",41310,NA,NA,NA,NA,NA,NA,"2.9",NA
"247",41311,NA,"0",NA,NA,NA,NA,NA,NA
"248",41312,NA,NA,NA,NA,NA,"0","3.0",NA
"249",41313,NA,NA,NA,NA,NA,NA,"2.9",NA
"250",41314,NA,NA,NA,NA,NA,NA,NA,NA
"251",41316,NA,NA,NA,NA,NA,NA,NA,NA
"252",41317,NA,NA,NA,NA,NA,NA,NA,NA
"253",41318,NA,NA,NA,NA,NA,NA,NA,NA
"254",41319,NA,NA,NA,NA,NA,NA,NA,NA
"255",41320,NA,NA,NA,NA,NA,NA,NA,NA
"256",41321,NA,"0",NA,NA,NA,"0.257",NA,NA
"257",41322,NA,NA,NA,NA,NA,NA,NA,NA
"258",41323,NA,NA,NA,NA,NA,NA,NA,NA
"259",41324,NA,"0",NA,NA,NA,"0",NA,NA
"260",41326,NA,NA,NA,NA,NA,NA,NA,NA
"261",41327,NA,NA,NA,NA,NA,NA,NA,NA
"262",41328,NA,NA,NA,NA,NA,NA,NA,NA
"263",41329,NA,NA,NA,NA,NA,NA,NA,NA
"264",41330,NA,NA,NA,NA,NA,NA,NA,NA
"265",41331,"0","0",NA,NA,NA,NA,NA,NA
"266",43300,NA,NA,NA,NA,NA,NA,NA,NA
"267",50002,"0.739","1.04","0.855",NA,"0.728","1.564","3.8","0.90"
"268",50006,"0.423","1.465","2.718",NA,"3.256","1.434","3.1","0.75"
"269",50007,"0.119","0.525","0",NA,"2.444","1.206","3.6","0.85"
"270",50008,"0.478","1.34",NA,NA,NA,"1.28",NA,"1.00"
"271",50009,"0.481","0.725","0.517",NA,"0","1.77","2.9","1.01"
"272",50013,"0.774","0.741",NA,NA,NA,"1.382","2.4","1.19"
"273",50014,"1.093","0.441","0",NA,NA,"0.638","3.0","1.32"
"274",50017,"0","0.263","1.063","0","0.757","1.143","4.2","1.18"
"275",50018,"1.636","0.282",NA,"0.94","2.405","0.771",NA,"0.80"
"276",50022,"0.342","0.679","2.887","2.549","1.707","1.586","3.0","0.68"
"277",50024,"0","0",NA,NA,"1.447","0.39",NA,"0.68"
"278",50025,"0.903","0.497","1.953","1.594","1.177","1.387","2.8","1.04"
"279",50026,"0.582","0.793","0.629","0","1.144","1.479","2.2","0.73"
"280",50028,"0","0",NA,NA,NA,"0",NA,"0.99"
"281",50030,"0","0.375",NA,NA,"1.229","0.368","4.5","0.60"
"282",50036,"0.37","0.429","0","0","0.548","1.129","3.6","1.04"
"283",50038,"0.75","1.134","2.416","1.302","0.619","0.976",NA,"0.85"
"284",50039,"0.37","0.649","0",NA,"0.821","0.784","4.0","0.78"
"285",50040,"0.268","1.441","0.652","1.353","2.541","0.654",NA,"0.86"
"286",50042,NA,"0","0",NA,NA,"0.411","3.3","0.74"
"287",50043,"0.512","0.67","1.222",NA,"0.557","0.955","3.9","1.12"
"288",50045,"1.611","0.754","1.519",NA,"0.978","0.983","2.7","0.82"
"289",50047,"0.564","1.374","0.443","0.811","0.998","1.34","2.9","0.89"
"290",50054,"0.264","0.533",NA,NA,NA,"2.383","2.8","0.89"
"291",50055,"0.597","1.049",NA,NA,NA,"0.654","3.2","1.11"
"292",50056,"1.233","0.626","0.133","0.431","0.667","1.016","3.4","1.52"
"293",50057,"0.294","0.367","2.239","2.799","0.578","0.721","2.3","0.57"
"294",50058,"0.11","0.33","0.393",NA,"0.214","1.509","3.3","0.72"
"295",50060,"1.021","1.605","1.134","1.137","1.145","0.988","3.0","0.96"
"296",50063,"0.931","0.588","0.91",NA,"0.49","0.584","2.8","0.82"
"297",50067,NA,"0",NA,NA,NA,NA,"2.8","0.99"
"298",50069,"1.082","0.699","0.995","0","0.384","0.834","2.2","1.07"
"299",50070,"1.58","1.356","1.323",NA,NA,"1.978",NA,"0.87"
"300",50071,"0.837","1.042","1.456","1.459","1.529","1.072",NA,"0.82"
"301",50072,"0.939","1.417","1.584","2.947","0.427","1.743",NA,"1.04"
"302",50073,"0.608","0.521","0.728",NA,"0","0.947",NA,"0.86"
"303",50075,"0.654","0.896","1.209","0.9","0.489","1.012",NA,"0.84"
"304",50076,"0.391","0.95","1.444","4.023","0.294","0.723",NA,"0.86"
"305",50077,"0.398","0.906","1.442","0.585","0.643","1.199","4.3","0.74"
"306",50078,"0.38","0.11","0",NA,NA,"0.794","3.3","0.82"
"307",50082,"0","0.571","1.922",NA,"1.274","1.06","2.8","1.24"
"308",50084,"0.083","0.072","0.265",NA,"1.544","1.137","2.8","0.88"
"309",50089,"0.445","0.143",NA,NA,"0.857","1.115",NA,"0.84"
"310",50090,"0","1.267",NA,NA,NA,"1.693","3.1","0.90"
"311",50091,"0.931","0.565",NA,NA,NA,"0.164",NA,"0.80"
"312",50093,"0.643","0.614","1.189","0.707","1.651","0.543","2.5","0.89"
"313",50096,NA,NA,NA,NA,NA,NA,"2.8","0.87"
"314",50099,"0.797","0.934","2.72","1.846","0.434","1.329","4.0",NA
"315",50100,"0.251","1.181","1.878","0.937","0.59","1.049","2.3","0.67"
"316",50101,"1.097","0.358","0.449",NA,NA,"1.058","3.7","0.78"
"317",50102,"0.785","0.586","0.744","4.643","1.515","1.584","2.5","0.71"
"318",50103,"0.744","0.442","1.594",NA,"0.408","0.963","3.4","1.03"
"319",50104,"0.543","0.677","2.089","0","0.981","0.805",NA,"0.77"
"320",50107,"0.243","0.378","1.028",NA,"0.423","0.601","2.4","0.72"
"321",50108,"0.456","0.476","0.97","0.603","0.58","0.837","2.4","0.90"
"322",50110,NA,"0.667",NA,NA,NA,"0.814","2.8","0.82"
"323",50112,"0.668","0.533","0.81",NA,"0.21","0.884","3.5","0.73"
"324",50113,"0","0.783","1.778",NA,NA,"0.502",NA,"0.83"
"325",50115,"0.385","0.518","1.471","0","1.559","0.948","2.4","0.88"
"326",50116,"0.812","0.95","0.45",NA,"0","0.99","2.7","1.09"
"327",50118,"0","0.242","1.988",NA,NA,"0.896","2.8","0.69"
"328",50121,"0.765","0.411","1.903",NA,"1.029","0.806","2.7","0.81"
"329",50122,"0.874","0.604",NA,NA,"2.515","1.578","2.7","1.14"
"330",50124,"1.628","1.325",NA,NA,"0.635","0.961","3.0","0.84"
"331",50125,"1.103","1.228","1.681",NA,"1.478","0.807","4.1","1.02"
"332",50126,"1.121","0.253","0",NA,"2.423","1.038","2.5","0.98"
"333",50127,"0","0.177","0.732",NA,NA,"0.702","3.0","0.79"
"334",50128,"0.569","0.427","1.702","0.961","0.821","0.914","2.9","0.95"
"335",50129,"0.627","0.481","0.248","0.899","0.479","1.145","3.2","0.83"
"336",50131,"0","0.512",NA,NA,NA,"1.455","3.0","0.92"
"337",50132,"0.966","0.389","1.566","0","0.626","1.165","2.5","0.74"
"338",50133,"1.117","0.153","0.673",NA,"0.979","1.08","3.2","1.30"
"339",50135,"0.388","1.49","3.683",NA,"2.906","1.102",NA,"0.54"
"340",50136,"0","0.316","0",NA,NA,"1.773","2.4","1.02"
"341",50137,"0.353","0.833","0.901",NA,"0.645","1.134",NA,"0.88"
"342",50138,"0.478","0.887","0.784","0.667","0.673","1.259",NA,"1.08"
"343",50139,"0.304","0.602","1.04","0.464","0.922","1.156",NA,"0.90"
"344",50140,"0.294","0.38","0.545",NA,"0.527","1.399",NA,"0.98"
"345",50145,"0.502","1.457","1.908",NA,"1.273","0.683","3.4","0.91"
"346",50149,"0.717","1.751","0.86","0","1.573","0.227",NA,"0.87"
"347",50150,"0.405","0.189","0.797",NA,"1.506","1.545","3.0","0.72"
"348",50152,"0.474","0.749",NA,NA,NA,"1.06","3.0","0.65"
"349",50153,"0.623","0.845","0.834",NA,NA,"0.938","3.0","0.88"
"350",50158,"0","0",NA,NA,NA,"0.82",NA,"0.74"
"351",50159,"1.065","0.775","3",NA,"0.402","0.691","2.7","0.94"
"352",50167,"0.278","0.57","0.492",NA,"1.933","1.158",NA,"0.92"
"353",50168,"0.484","0.571","1.904","0.829","1.119","0.961","2.6","0.91"
"354",50169,"0.09","0.204","0.799","1.575","0.913","0.967","2.6","1.15"
"355",50174,"0.559","1.538","2.234",NA,"0.791","1.356","2.8","0.74"
"356",50179,"0.797","0","0.827",NA,"0.568","1.453","3.0","0.90"
"357",50180,"1.008","1.112","1.461","0.543","0.21","1.01","2.1","0.81"
"358",50189,"0","1.996",NA,NA,NA,"0.101",NA,"0.92"
"359",50191,"0.432","0.389","0",NA,"0.959","0.736","3.6","0.79"
"360",50192,NA,NA,NA,NA,NA,"0",NA,"0.89"
"361",50194,"0","0",NA,NA,NA,"0.55","2.7","0.67"
"362",50195,"1.001","0.941","0.557",NA,"0.733","1.698","1.9","0.80"
"363",50196,NA,NA,NA,NA,NA,"0",NA,"0.90"
"364",50197,"0","1.073","1.304","1.101","0","1.09","2.8","0.85"
"365",50204,"0.637","0.179","0.418",NA,"2.506","1.394","3.5","0.79"
"366",50205,NA,"0.58",NA,NA,NA,"0.811",NA,"0.84"
"367",50211,NA,"0",NA,NA,NA,"1.453","2.9","0.89"
"368",50222,"1.723","0.247","1.937","0.694","0.743","1.357","3.1","0.64"
"369",50224,"0.89","0.591","1.139","0.373","0.252","1.568",NA,"0.61"
"370",50225,"0","0.455",NA,NA,NA,"2.449","2.9","0.86"
"371",50226,"0.402","0.417","0.336","0","0","1.84","2.7","1.12"
"372",50228,"0.178","0.902","2.2",NA,"0.388","0.534","3.0","1.12"
"373",50230,"0.459","0",NA,NA,NA,"1.099",NA,"0.63"
"374",50231,"0.68","0.906","1.626","1.191","2.292","1.442","3.3","0.81"
"375",50232,"0","0.502","0.896",NA,NA,"0.79","3.3","0.54"
"376",50234,"1.297","0.449",NA,NA,NA,"0.781","2.8","0.77"
"377",50235,"1.504","1.484","2.445","1.271","1.479","1.874","2.6","0.79"
"378",50236,"0.482","0.436","0.602",NA,"0.835","2.006","4.0","0.86"
"379",50238,"0.439","0.487","1.368","0","0.364","1.174","3.4","0.76"
"380",50239,"0.06","0.484","0.851",NA,"1.154","1.039","3.5","0.76"
