"","avg_correlation","factor_loading","weight"
"ED_1b_Score",0.18,0.84,0.931
"ED_2b_Score",0.05,-0.45,-0.186
"OP_18b_Score",0.15,0.1,0.031
"OP_20_Score",0.17,0.28,0.099
"OP_21_Score",0.18,0.34,0.125
"OP_3b_Score",0.17,0.14,0.045
"OP_5_Score",0.1,-0.14,-0.046
